"X","hhid","hhid_2010","year","aez","lat","lon","maize_area_ha_sw","maize_pro_sw","maize_qua_sw_kh","fert_qua_sw","fert_qua_sw_kh","hybrid","farm_income","total_income","sex","mar_stat","age","fam_exp","educ_hoh","hh_size","ad_equ_oecd_mod","HFIAS","HFIA","maize_area_ha","maize_pro","fert_use","fert_qua","fert_qua_kh","maize_qua_kh","e5","e6","credit_acc_hh_sc","acc_ext","heard_new_var","acc_ext_past","heard_new_var_past","overall_match","identification","match_pr_anh","acc_cred","maximum_2m_air_temperature_year","minimum_2m_air_temperature_year","total_precipitation_year","dismarket_km","dismarket_min","ext_km","ext_min","keep_hh","school","mysample","total_income_log","Qair_f_inst_mean_year","Admin_1"
100,11001,NA,2013,"Coastal Lowland",-3.75541997,39.73001862,1.133999944,281.6243896,248.3460388,0,0,1,5600,5600,1,0,83,66,0,9,4,6,4,2.267999887,540,0,0,0,238.0952454,NA,NA,0,1,NA,1,NA,8,1,1,0,34.27703094,18.70684052,539.1941528,2,60,4,120,1,0,1,8.630521774,1.542534232,"Kilifi"
101,11002,610080,2010,"Coastal Lowland",-3.746629953,39.72726059,2.286549091,1168.680664,511.1111145,0,0,0,20400,264400,1,0,59,40,12,8,3.700000048,0,1,4.050000191,2070,0,0,0,511.111084,1,1,1,0,0,1,1,11,1,1,NA,34.992939,18.7132206,596.5008545,0.6,5,3,40,1,1,1,12.48521805,1.539692879,"Kilifi"
102,11002,NA,2013,"Coastal Lowland",-3.746629953,39.72726059,1.620000005,1297.868408,801.1533203,0,0,1,60000,270000,1,0,61,40,14,5,2.400000095,0,1,3.24000001,2340,0,0,0,722.222229,NA,NA,1,1,NA,1,NA,11,1,1,1,34.83187103,18.88731956,440.6502991,0.6,5,3,40,1,1,1,12.50617695,1.50564456,"Kilifi"
103,11003,610081,2010,"Coastal Lowland",-3.753319979,39.72098923,0.8100000024,574.87323,709.7200317,0,0,0,7200,235200,1,0,57,36,12,8,3.5,0,1,1.620000005,1080,0,0,0,666.666687,1,1,1,0,0,1,1,11,1,1,NA,34.48353958,18.65065956,741.9417114,6,60,6,60,1,1,1,12.36819172,1.583623528,"Kilifi"
104,11003,NA,2013,"Coastal Lowland",-3.753319979,39.72098923,0.3429823816,254.0610046,740.7406616,0,0,0,0,780000,1,0,59,38,14,11,5.599999905,14,4,0.6075000167,450,0,0,0,740.7407227,NA,NA,1,1,NA,1,NA,11,1,1,1,34.27703094,18.70684052,539.1941528,6,60,6,60,1,1,1,13.56704903,1.542534232,"Kilifi"
105,11004,610082,2010,"Coastal Lowland",-3.749279976,39.72134018,0.8623098135,283.4518738,328.7123413,0,0,0,3000,92500,1,0,43,4,10,7,3,6,3,1.620000005,517.5,0,0,0,319.444458,1,0,0,1,0,1,1,8,1,1,NA,34.48353958,18.65065956,741.9417114,2,45,2,45,1,1,1,11.43496418,1.539692879,"Kilifi"
106,11004,NA,2013,"Coastal Lowland",-3.749279976,39.72134018,0.4050000012,96.84429932,239.1217194,0,0,1,0,192000,1,0,43,6,11,7,3,18,4,0.8100000024,215,0,0,0,265.4320984,NA,NA,0,1,NA,1,NA,8,1,1,0,34.27703094,18.70684052,539.1941528,2,45,2,45,1,1,1,12.16525078,1.50564456,"Kilifi"
107,11005,610083,2010,"Coastal Lowland",-3.749929905,39.72153854,1.215000033,884.0610352,727.6222534,0,0,1,26500,776500,1,0,65,18,12,9,4.400000095,3,2,2.430000067,1710,0,0,0,703.7036743,1,1,1,0,0,1,1,11,1,1,NA,34.48353958,18.65065956,741.9417114,0.2,10,3,60,1,1,1,13.5625515,1.539692879,"Kilifi"
108,11005,NA,2013,"Coastal Lowland",-3.749929905,39.72153854,1.479517698,228.6549072,154.5469208,0,0,1,30000,102000,1,0,66,20,12,7,3.599999905,6,3,3.037499905,405,0,0,0,133.3333435,NA,NA,1,1,NA,1,NA,11,1,1,1,34.27703094,18.70684052,539.1941528,0.2,10,3,60,1,1,1,11.5327282,1.50564456,"Kilifi"
109,11102,611074,2010,"Coastal Lowland",-3.860759974,39.64181137,0.9553362727,191.6244049,200.5831909,0,0,0,120,26120,1,0,76,43,6,2,1.5,6,3,1.923750043,360,0,0,0,187.1345062,0,0,0,0,0,1,1,11,1,1,NA,34.48353958,18.65065956,741.9417114,1,15,7,140,1,1,1,10.17045689,1.583623528,"Kilifi"
110,11102,NA,2013,"Coastal Lowland",-3.860759974,39.64181137,1.215000033,101.6244049,83.64147949,0,0,0,4700,148700,1,0,78,45,8,9,4.199999809,0,1,2.430000067,180,0,0,0,74.07407379,NA,NA,1,1,NA,1,NA,11,1,1,1,34.27703094,18.70684052,539.1941528,1,15,7,140,1,1,1,11.90968609,1.542534232,"Kilifi"
111,11103,611075,2010,"Coastal Lowland",-3.860840082,39.64501953,0.9504823685,160.4060974,168.7628326,0,0,1,19000,89800,1,0,58,8,12,5,2.400000095,5,3,1.82249999,315,0,0,0,172.8395081,1,1,1,0,0,1,1,11,1,1,NA,34.48353958,18.65065956,741.9417114,0.3,10,0.3,10,1,1,1,11.40534019,1.583623528,"Kilifi"
112,11103,NA,2013,"Coastal Lowland",-3.860840082,39.64501953,0.8100000024,140.8121948,173.8422089,100,123.4567871,1,33500,48500,1,0,59,10,12,5,2.400000095,6,4,1.620000005,270,1,200,123.4567871,166.6666718,NA,NA,1,1,NA,1,NA,11,1,1,1,34.27703094,18.70684052,539.1941528,0.3,10,0.3,10,1,1,1,10.78931904,1.542534232,"Kilifi"
