year,aez,hybrid,sex,mar_stat,age,fam_exp,educ_yrs,hh_size,maize_area_ha,fert_use,maize_qua_kh,credit_acc,acc_ext,acc_ext_past,max_2m_air_temp_yr,precipitation_yr,dis_market_min,ext_km,Admin_1
2010,Coastal Lowland,1,1,0,49,11,9,8,0.810000002,0,444.444458,1,0,1,34.72158051,1064.194702,30,10,Kwale
2013,Coastal Lowland,1,1,0,50,13,11,8,1.215000033,1,1555.555542,1,1,1,34.13143158,888.925354,30,10,Kwale
2010,Coastal Lowland,1,1,0,41,3,8,9,1.417500019,1,761.9047241,1,0,1,34.72158051,1064.194702,30,8,Kwale
2013,Coastal Lowland,1,1,0,42,5,8,11,1.620000005,1,1166.666626,1,0,1,34.13143158,888.925354,30,8,Kwale
2010,Coastal Lowland,1,1,0,62,26,13,11,0.810000002,1,888.888916,0,0,1,34.72158051,1064.194702,15,2,Kwale
2013,Coastal Lowland,1,1,2,64,10,8,7,0.506250024,1,1955.55542,0,1,1,34.13143158,888.925354,15,2,Kwale
2010,Coastal Lowland,1,1,0,25,5,10,3,0.810000002,1,888.888916,0,0,1,34.72158051,1064.194702,20,2.6,Kwale
2013,Coastal Lowland,0,1,0,65,20,5,4,1.215000033,1,555.555542,0,1,1,34.13143158,888.925354,20,2.6,Kwale
2010,Coastal Lowland,1,0,2,63,52,0,1,0.405000001,1,888.888916,0,0,1,34.59518051,909.947937,2,16,Kwale
2013,Coastal Lowland,1,0,2,65,54,0,1,0.607500017,1,444.4444275,1,1,1,34.48880005,772.6005249,2,16,Kwale
2010,Coastal Lowland,0,1,0,61,32,8,5,2.025000095,1,399.9999695,1,0,1,34.59518051,909.947937,15,8,Kwale
2013,Coastal Lowland,0,1,0,63,34,8,5,2.430000067,1,518.5184937,1,1,1,34.48880005,772.6005249,15,8,Kwale
2010,Coastal Lowland,0,1,0,33,13,6,7,0.70875001,0,1269.841309,0,0,1,34.59518051,909.947937,1,4,Kwale
2013,Coastal Lowland,0,1,3,42,5,12,2,1.012500048,1,622.222168,0,1,1,34.48880005,772.6005249,1,4,Kwale
2010,Coastal Lowland,1,1,0,33,13,6,6,1.215000033,1,1259.259277,1,0,1,34.59518051,909.947937,15,5,Kwale
2013,Coastal Lowland,1,1,0,35,15,8,6,1.620000005,1,1000,1,1,1,34.48880005,772.6005249,15,5,Kwale
2010,Coastal Lowland,1,1,0,48,11,14,4,0.810000002,0,388.8888855,1,0,1,34.59518051,909.947937,3,2,Kwale
2013,Coastal Lowland,1,1,0,88,20,0,10,2.632500172,1,1299.145264,1,0,1,34.48880005,772.6005249,3,2,Kwale
2010,Coastal Lowland,1,1,0,36,4,9,8,0.506250024,0,177.777771,0,0,1,35.12657928,1006.057129,5,20,Kwale
2013,Coastal Lowland,0,1,0,38,5,11,7,0.607500017,0,148.1481476,0,0,1,34.48054886,852.6138306,5,20,Kwale
2010,Coastal Lowland,1,1,0,38,17,12,11,1.012500048,0,488.888855,1,0,1,35.12657928,1006.057129,15,12,Kwale
2013,Coastal Lowland,1,1,0,40,19,12,18,1.215000033,0,156.3786011,1,1,1,34.48054886,852.6138306,15,12,Kwale
2010,Coastal Lowland,1,1,0,39,18,12,5,1.417500019,1,1047.619019,1,0,1,35.12657928,1006.057129,0,20,Kwale
2013,Coastal Lowland,1,1,0,39,20,12,8,0.70875001,1,1961.199219,1,1,1,34.48054886,852.6138306,0,20,Kwale
2010,Coastal Lowland,0,1,0,58,38,12,5,0.810000002,0,444.444458,0,0,1,35.12657928,1006.057129,10,27,Kwale
2013,Coastal Lowland,1,1,0,60,40,12,4,0.405000001,1,2444.444336,0,1,1,34.48054886,852.6138306,10,27,Kwale
2010,Coastal Lowland,0,1,0,33,10,12,7,0.405000001,0,888.888916,1,0,1,35.12657928,1006.057129,5,10,Kwale
2013,Coastal Lowland,0,1,0,34,20,12,7,0.405000001,0,1111.111084,1,0,1,34.48054886,852.6138306,5,10,Kwale
2010,Coastal Lowland,0,1,0,60,18,7,7,2.430000067,0,370.3703613,0,0,0,35.12657928,1006.057129,0,7,Kwale
2013,Coastal Lowland,0,1,0,44,8,12,6,0.506250024,0,1422.222168,1,0,0,34.48054886,852.6138306,0,7,Kwale
2010,Coastal Lowland,1,1,0,36,18,5,8,1.620000005,0,555.555542,0,0,1,32.21960068,910.1409302,20,2,Kilifi
2013,Coastal Lowland,0,1,0,38,20,7,10,3.24000001,0,111.1111145,1,1,1,32.53010178,685.0132446,20,2,Kilifi
2010,Coastal Lowland,1,1,0,47,18,7,7,0.405000001,0,444.444458,0,0,1,32.21960068,910.1409302,10,3,Kilifi
2013,Coastal Lowland,0,1,0,48,20,7,6,1.012500048,0,197.5308533,1,1,1,32.53010178,685.0132446,10,3,Kilifi
2010,Coastal Lowland,0,1,0,66,42,7,10,0.607500017,0,222.2222137,0,0,1,32.21960068,910.1409302,3,1,Kilifi
2013,Coastal Lowland,0,0,0,38,20,0,8,0.243000001,0,1037.036987,0,1,1,32.53010178,685.0132446,3,1,Kilifi
2010,Coastal Lowland,1,1,0,29,3,8,10,0.052649997,1,1709.401855,1,0,1,32.21960068,910.1409302,60,3,Kilifi
2013,Coastal Lowland,1,1,0,68,32,12,13,2.835000038,1,698.4126587,1,1,1,32.53010178,685.0132446,60,3,Kilifi
2010,Coastal Lowland,1,1,0,29,12,12,3,2.025000095,1,488.888855,0,0,1,32.21960068,910.1409302,80,4,Kilifi
2013,Coastal Lowland,1,1,0,45,25,12,10,0.810000002,0,333.3333435,0,1,1,32.53010178,685.0132446,80,4,Kilifi
2010,Coastal Lowland,1,1,0,37,17,8,8,1.215000033,0,222.2222137,0,0,1,34.992939,596.5008545,10,3,Kilifi
2013,Coastal Lowland,1,1,0,39,20,8,9,1.620000005,0,422.8395081,1,1,1,34.83187103,440.6502991,10,3,Kilifi
2010,Coastal Lowland,0,1,0,41,27,9,5,0.810000002,1,444.444458,0,0,1,34.992939,596.5008545,5,2,Kilifi
2013,Coastal Lowland,0,1,0,39,20,8,6,0.810000002,0,333.3333435,1,1,1,34.83187103,440.6502991,5,2,Kilifi
2010,Coastal Lowland,0,1,0,48,28,5,10,1.620000005,1,333.3333435,0,0,1,34.992939,596.5008545,50,2.5,Kilifi
2013,Coastal Lowland,1,1,0,50,30,7,13,0.810000002,0,222.222229,0,1,1,34.83187103,440.6502991,50,2.5,Kilifi
2010,Coastal Lowland,0,0,0,82,61,0,5,4.252500057,0,264.5502625,0,0,1,34.992939,596.5008545,60,4,Kilifi
2013,Coastal Lowland,1,0,2,54,34,0,5,0.810000002,0,246.9135742,0,1,1,34.83187103,440.6502991,60,4,Kilifi
2010,Coastal Lowland,1,0,0,60,48,12,14,4.050000191,0,244.4444275,0,0,1,34.992939,596.5008545,45,3,Kilifi
2013,Coastal Lowland,1,0,0,62,50,0,2,2.025000095,0,66.66666412,0,1,1,34.83187103,440.6502991,45,3,Kilifi
2010,Coastal Lowland,0,1,0,33,6,8,13,4.860000134,0,222.2222137,0,0,1,34.992939,596.5008545,10,1,Kilifi
2013,Coastal Lowland,0,1,0,58,35,0,12,2.025000095,0,399.9999695,1,1,1,34.83187103,440.6502991,10,1,Kilifi
2010,Coastal Lowland,0,1,0,81,64,0,8,1.620000005,0,97.22222137,0,0,1,34.48353958,741.9417114,60,4,Kilifi
2013,Coastal Lowland,1,1,0,83,66,0,9,2.267999887,0,238.0952454,0,1,1,34.27703094,539.1941528,60,4,Kilifi
2010,Coastal Lowland,0,1,0,59,40,12,8,4.050000191,0,511.111084,1,0,1,34.992939,596.5008545,5,3,Kilifi
2013,Coastal Lowland,1,1,0,61,40,14,5,3.24000001,0,722.222229,1,1,1,34.83187103,440.6502991,5,3,Kilifi
2010,Coastal Lowland,0,1,0,57,36,12,8,1.620000005,0,666.666687,1,0,1,34.48353958,741.9417114,60,6,Kilifi
2013,Coastal Lowland,0,1,0,59,38,14,11,0.607500017,0,740.7407227,1,1,1,34.27703094,539.1941528,60,6,Kilifi
2010,Coastal Lowland,0,1,0,43,4,10,7,1.620000005,0,319.444458,0,1,1,34.48353958,741.9417114,45,2,Kilifi
2013,Coastal Lowland,1,1,0,43,6,11,7,0.810000002,0,265.4320984,0,1,1,34.27703094,539.1941528,45,2,Kilifi
2010,Coastal Lowland,1,1,0,65,18,12,9,2.430000067,0,703.7036743,1,0,1,34.48353958,741.9417114,10,3,Kilifi
